tof_t1 , 78.65, tof_t2 , 188.13
tof_t1 , 78.51, tof_t2 , 187.58
tof_t1 , 78.57, tof_t2 , 188.51
tof_t1 , 78.55, tof_t2 , 188.00
tof_t1 , 78.53, tof_t2 , 188.19
tof_t1 , 78.59, tof_t2 , 187.95
tof_t1 , 78.46, tof_t2 , 187.69
tof_t1 , 78.59, tof_t2 , 188.20
tof_t1 , 78.41, tof_t2 , 188.58
tof_t1 , 78.52, tof_t2 , 187.60
tof_t1 , 78.45, tof_t2 , 188.71
tof_t1 , 78.61, tof_t2 , 187.68
tof_t1 , 78.43, tof_t2 , 188.39
tof_t1 , 78.48, tof_t2 , 188.13
tof_t1 , 78.50, tof_t2 , 188.13
tof_t1 , 78.48, tof_t2 , 188.16
tof_t1 , 78.44, tof_t2 , 188.75
tof_t1 , 78.46, tof_t2 , 188.95
tof_t1 , 78.60, tof_t2 , 188.27
tof_t1 , 78.57, tof_t2 , 188.44
tof_t1 , 78.49, tof_t2 , 188.79
tof_t1 , 78.52, tof_t2 , 187.94
tof_t1 , 78.50, tof_t2 , 187.79
tof_t1 , 78.44, tof_t2 , 188.75
tof_t1 , 78.43, tof_t2 , 188.22
tof_t1 , 78.54, tof_t2 , 188.72
tof_t1 , 78.41, tof_t2 , 188.21
tof_t1 , 78.48, tof_t2 , 188.75
tof_t1 , 78.59, tof_t2 , 188.52
tof_t1 , 78.43, tof_t2 , 188.21
tof_t1 , 78.45, tof_t2 , 188.38
tof_t1 , 78.49, tof_t2 , 188.24
tof_t1 , 78.46, tof_t2 , 188.63
tof_t1 , 78.48, tof_t2 , 188.21
tof_t1 , 78.52, tof_t2 , 188.74
tof_t1 , 78.52, tof_t2 , 188.61
tof_t1 , 78.50, tof_t2 , 187.85
tof_t1 , 78.47, tof_t2 , 188.35
tof_t1 , 78.46, tof_t2 , 188.23
tof_t1 , 78.44, tof_t2 , 188.18
tof_t1 , 78.46, tof_t2 , 188.50
tof_t1 , 78.43, tof_t2 , 188.09
tof_t1 , 78.43, tof_t2 , 187.98
tof_t1 , 78.46, tof_t2 , 188.79
tof_t1 , 78.47, tof_t2 , 187.66
tof_t1 , 78.51, tof_t2 , 188.27
tof_t1 , 78.45, tof_t2 , 188.68
tof_t1 , 78.45, tof_t2 , 188.20
tof_t1 , 78.45, tof_t2 , 188.88
tof_t1 , 78.43, tof_t2 , 188.56
tof_t1 , 78.44, tof_t2 , 188.47
tof_t1 , 78.44, tof_t2 , 188.54
tof_t1 , 78.47, tof_t2 , 189.22
tof_t1 , 78.67, tof_t2 , 189.42
tof_t1 , 78.43, tof_t2 , 188.26
tof_t1 , 78.41, tof_t2 , 189.20
tof_t1 , 78.40, tof_t2 , 187.92
tof_t1 , 78.45, tof_t2 , 188.43
tof_t1 , 78.39, tof_t2 , 188.13
tof_t1 , 78.46, tof_t2 , 188.63
tof_t1 , 78.41, tof_t2 , 189.28
tof_t1 , 78.44, tof_t2 , 188.91
tof_t1 , 78.48, tof_t2 , 189.22
tof_t1 , 78.42, tof_t2 , 188.31
tof_t1 , 78.41, tof_t2 , 189.01
tof_t1 , 78.46, tof_t2 , 188.97
tof_t1 , 78.49, tof_t2 , 188.74
tof_t1 , 78.47, tof_t2 , 188.42
tof_t1 , 78.43, tof_t2 , 188.83
tof_t1 , 78.54, tof_t2 , 188.90
tof_t1 , 78.40, tof_t2 , 189.30
tof_t1 , 78.43, tof_t2 , 188.76
